"Artist","Track","Album","Track Number","Year"
"Finntroll","Dråp","Nifelvind","11","2010"
"Finntroll","Under Dvärgens Fot","Nifelvind","12","2010"
"First Reign","Inception","As The Dead Lead The Dead","1","2007"
"First Reign","This Ghost of Ours","As The Dead Lead The Dead","2","2007"
"First Reign","Where the Ocean Meets the Sky","As The Dead Lead The Dead","3","2007"
"First Reign","Wretched Flesh","As The Dead Lead The Dead","4","2007"
"First Reign","Thistle","As The Dead Lead The Dead","5","2007"
"First Reign","As The Dead Lead The Dead","As The Dead Lead The Dead","6","2007"
"Five Finger Death Punch","Dying Breed","War Is The Answer","1","2009"
"Five Finger Death Punch","Hard To See","War Is The Answer","2","2009"
"Five Finger Death Punch","Bulletproof","War Is The Answer","3","2009"
"Five Finger Death Punch","No One Gets Left Behind","War Is The Answer","4","2009"
"Five Finger Death Punch","Crossing Over","War Is The Answer","5","2009"
"Five Finger Death Punch","Burn It Down","War Is The Answer","6","2009"
"Five Finger Death Punch","Far From Home","War Is The Answer","7","2009"
"Five Finger Death Punch","Falling In Hate","War Is The Answer","8","2009"
"Five Finger Death Punch","My Own Hell","War Is The Answer","9","2009"
"Five Finger Death Punch","Walk Away","War Is The Answer","10","2009"
"Five Finger Death Punch","Canto 34","War Is The Answer","11","2009"
"Five Finger Death Punch","Bad Company","War Is The Answer","12","2009"
"Five Finger Death Punch","War Is The Answer","War Is The Answer","13","2009"
"Five Finger Death Punch","Ashes","Way of the Fist","1","2007"
"Five Finger Death Punch","The Way of the Fist","Way of the Fist","2","2007"
"Five Finger Death Punch","Salvation","Way of the Fist","3","2007"
"Five Finger Death Punch","The Bleeding","Way of the Fist","4","2007"
"Five Finger Death Punch","A Place to Die","Way of the Fist","5","2007"
"Five Finger Death Punch","The Devil's Own","Way of the Fist","6","2007"
"Five Finger Death Punch","White Knuckles","Way of the Fist","7","2007"
"Five Finger Death Punch","Can't Heal You","Way of the Fist","8","2007"
"Five Finger Death Punch","Death Before Dishonor","Way of the Fist","9","2007"
"Five Finger Death Punch","Meet the Monster","Way of the Fist","10","2007"
"Fleshgod Apocalypse","Temptation","Agony","1","2011"
"Fleshgod Apocalypse","The Hypocrisy","Agony","2","2011"
"Fleshgod Apocalypse","The Imposition","Agony","3","2011"
"Fleshgod Apocalypse","The Deceit","Agony","4","2011"
"Fleshgod Apocalypse","The Violation","Agony","5","2011"
"Fleshgod Apocalypse","The Egoism","Agony","6","2011"
"Fleshgod Apocalypse","The Betrayal","Agony","7","2011"
"Fleshgod Apocalypse","The Forsaking","Agony","8","2011"
"Fleshgod Apocalypse","The Opression","Agony","9","2011"
"Fleshgod Apocalypse","Agony","Agony","10","2011"
"Fleshgod Apocalypse","Thru Our Scars","Mafia EP","1","2010"
"Fleshgod Apocalypse","Abyssal","Mafia EP","2","2010"
"Fleshgod Apocalypse","Conspiracy Of Silence","Mafia EP","3","2010"
"Fleshgod Apocalypse","Blinded By Fear","Mafia EP","4","2010"
"Fleshgod Apocalypse","Mafia","Mafia EP","5","2010"
"Fleshgod Apocalypse","In Honour Of Reason","Oracles","1","2009"
"Fleshgod Apocalypse","Post-Enlightenment Executor","Oracles","2","2009"
"Fleshgod Apocalypse","As Tyrants Fall","Oracles","3","2009"
"Fleshgod Apocalypse","Sophistic Demise","Oracles","4","2009"
"Fleshgod Apocalypse","Requiem In SJ Minore","Oracles","5","2009"
"Fleshgod Apocalypse","At The Guillotine","Oracles","6","2009"
"Fleshgod Apocalypse","Embodied Deception","Oracles","7","2009"
"Fleshgod Apocalypse","Infection Of The White Throne","Oracles","8","2009"
"Fleshgod Apocalypse","Retrieving My Carcass","Oracles","9","2009"
"Fleshgod Apocalypse","Oracles","Oracles","10","2009"
"Fomento","Hd80606b","Either Caesars Or Nothing","1","2009"
"Fomento","The Die Is Cast","Either Caesars Or Nothing","2","2009"
"Fomento","Pandora's Box","Either Caesars Or Nothing","3","2009"
"Fomento","The 13th Demon","Either Caesars Or Nothing","4","2009"
"Fomento","Kill Fashioncore","Either Caesars Or Nothing","5","2009"
"Fomento","Welcome To The Brotherhood","Either Caesars Or Nothing","6","2009"
"Fomento","Faithless","Either Caesars Or Nothing","7","2009"
"Fomento","The End Of The Republic","Either Caesars Or Nothing","8","2009"
"Fomento","Menticide (feat. Josh (To Kill))","Either Caesars Or Nothing","9","2009"
"Fomento","Cotard's Syndrome","Either Caesars Or Nothing","10","2009"
"Fomento","The Egyptian March","Either Caesars Or Nothing","11","2009"
"Fomento","Burial At Sea","Either Caesars Or Nothing","12","2009"
"Fomento","Beware The Ides Of March","To Persevere Is Diabolical","1","2012"
"Fomento","The Skeleton Coast","To Persevere Is Diabolical","2","2012"
"Fomento","Devil's Trill","To Persevere Is Diabolical","3","2012"
"Fomento","The Dysteleological Argument","To Persevere Is Diabolical","4","2012"
"Fomento","Predominance","To Persevere Is Diabolical","5","2012"
"Fomento","Monster Mobster","To Persevere Is Diabolical","6","2012"
"Fomento","Desecrators","To Persevere Is Diabolical","7","2012"
"Fomento","Blood Pact","To Persevere Is Diabolical","8","2012"
"Fomento","The Mud Machine","To Persevere Is Diabolical","9","2012"
"Fomento","In The Sixth Day","To Persevere Is Diabolical","10","2012"
"Fomento","Necropotency","To Persevere Is Diabolical","11","2012"
"Fomento","On My Father's Grave (Bonus Track)","To Persevere Is Diabolical","12","2012"
"For Ruin","Enlightened","Last Light","1","2009"
"For Ruin","Care Of The Dead","Last Light","2","2009"
"For Ruin","Decline","Last Light","3","2009"
"For Ruin","In Suffering","Last Light","4","2009"
"For Ruin","Solace","Last Light","5","2009"
"For Ruin","Recoil","Last Light","6","2009"
"For Ruin","Crawl","Last Light","7","2009"
"For Ruin","Deluge","Last Light","8","2009"
"For Ruin","Cold Call","Last Light","9","2009"
"For Ruin","Elysium","Last Light","10","2009"
"Fractal Gates","Visions I","Altered State of Consciousness","1","2009"
"Fractal Gates","Altered State of Consciousness","Altered State of Consciousness","2","2009"
"Fractal Gates","Gates to Nebula","Altered State of Consciousness","3","2009"
"Fractal Gates","Inertia","Altered State of Consciousness","4","2009"
"Fractal Gates","Visions II","Altered State of Consciousness","5","2009"
"Fractal Gates","Immersion","Altered State of Consciousness","6","2009"
"Fractal Gates","The Eclipse","Altered State of Consciousness","7","2009"
"Fractal Gates","Visions III","Altered State of Consciousness","8","2009"
"Fractal Gates","Skies of Orion","Altered State of Consciousness","9","2009"
"Fractal Gates","The Encounter","Altered State of Consciousness","10","2009"
"Fractal Gates","Visions IV","Altered State of Consciousness","11","2009"
"Fractal Gates","Illusional Dementia","Altered State of Consciousness","12","2009"
"Fractal Gates","Departure","Altered State of Consciousness","13","2009"
"Fractal Gates","Visions V","Altered State of Consciousness","14","2009"
"Fractals","Roots","Paradox","1","2011"
"Fractals","Contortions","Paradox","2","2011"
"Fractals","Premonitions: Servitude","Paradox","3","2011"
"Fractals","Boundless","Paradox","4","2011"
"Fractals","Desistance","Paradox","5","2011"
"Fractals","Enshroud The Boundaries","Paradox","6","2011"
"Fractals","Vastness","Paradox","7","2011"
"Fractals","Within","Paradox","8","2011"
"Fractals","Artifacts Of Intrigue","Paradox","9","2011"
"Fractals","Tongues","Paradox","10","2011"
"Fractals","The Invariant","Paradox","11","2011"
"Fracture","Sulphur Preacher","Dominate and Overload","1","2010"
"Fracture","Apple of Eden","Dominate and Overload","2","2010"
"Fracture","Wavemaster","Dominate and Overload","3","2010"
"Fracture","Stranger Within","Dominate and Overload","4","2010"
"Fracture","Monument of Shame","Dominate and Overload","5","2010"
"Fracture","Soulcatcher","Dominate and Overload","6","2010"
"Fracture","Unbreakable","Dominate and Overload","7","2010"
"Fracture","Dominate and Overload","Dominate and Overload","8","2010"
"Fracture","I Just Smile","Dominate and Overload","9","2010"
"Fracture Point","IED","Inherit the Downfall","1","2008"
"Fracture Point","Image","Inherit the Downfall","3","2008"
"Fracture Point","Inherit the Downfall","Inherit the Downfall","7","2008"
"Fracture Point","Failure State","Inherit the Downfall","8","2008"
"Fragments of Unbecoming","Ahead! (Prologue)","The Everhaunting Past: Chapter IV A Splendid Retrospection","1","2009"
"Fragments of Unbecoming","Vast","The Everhaunting Past: Chapter IV A Splendid Retrospection","2","2009"
"Fragments of Unbecoming","Run Ashored In The Yesteryears","The Everhaunting Past: Chapter IV A Splendid Retrospection","3","2009"
"Fragments of Unbecoming","Destination: Outcast","The Everhaunting Past: Chapter IV A Splendid Retrospection","4","2009"
"Fragments of Unbecoming","Deadlight","The Everhaunting Past: Chapter IV A Splendid Retrospection","5","2009"
"Fragments of Unbecoming","A Raintime Illustration","The Everhaunting Past: Chapter IV A Splendid Retrospection","6","2009"
"Fragments of Unbecoming","A Voice Says: 'Destroy!'","The Everhaunting Past: Chapter IV A Splendid Retrospection","7","2009"
"Fragments of Unbecoming","The Exiled Choir","The Everhaunting Past: Chapter IV A Splendid Retrospection","8","2009"
"Fragments of Unbecoming","Below All That Is Mortal","The Everhaunting Past: Chapter IV A Splendid Retrospection","9","2009"
"Fragments of Unbecoming","It's Me, The Grotesque","The Everhaunting Past: Chapter IV A Splendid Retrospection","10","2009"
"Fragments of Unbecoming","Diabolical Monologue","The Everhaunting Past: Chapter IV A Splendid Retrospection","11","2009"
"Fragments of Unbecoming","One Last Border Yet To Cross (Epilogue)","The Everhaunting Past: Chapter IV A Splendid Retrospection","12","2009"
"Frozen Abyss","Intro","Notes of Loneliness","1","2009"
"Frozen Abyss","The Song from the Death","Notes of Loneliness","2","2009"
"Frozen Abyss","Notes of Loneliness","Notes of Loneliness","3","2009"
"Frozen Abyss","Memories","Notes of Loneliness","4","2009"
"Frozen Abyss","Der verbotene Ort","Notes of Loneliness","5","2009"
"Frozen Abyss","The last Train","Notes of Loneliness","6","2009"
"Frozen Abyss","Einsamkeit","Notes of Loneliness","7","2009"
"Frozen Abyss","Follow me","Notes of Loneliness","8","2009"
"Frozen Abyss","Ein letzter Tanz","Notes of Loneliness","9","2009"
"Gardenian","As A True King","Soulburner/Sindustries","1","2008"
"Gardenian","Selfproclaimed Messiah","Soulburner/Sindustries","1","2008"
"Gardenian","Powertool","Soulburner/Sindustries","2","2008"
"Gardenian","Doom & Gloom","Soulburner/Sindustries","2","2008"
"Gardenian","Deserted","Soulburner/Sindustries","3","2008"
"Gardenian","Long Snap to Zero","Soulburner/Sindustries","3","2008"
"Gardenian","Soulburner","Soulburner/Sindustries","4","2008"
"Gardenian","Courageous","Soulburner/Sindustries","4","2008"
"Gardenian","If Tomorrow's Gone","Soulburner/Sindustries","5","2008"
"Gardenian","Heartless","Soulburner/Sindustries","5","2008"
"Gardenian","Small Electric Space","Soulburner/Sindustries","6","2008"
"Gardenian","The Suffering","Soulburner/Sindustries","6","2008"
"Gardenian","Chaos in Flesh","Soulburner/Sindustries","7","2008"
"Gardenian","Scissorfight","Soulburner/Sindustries","7","2008"
"Gardenian","Ecstasy of Life","Soulburner/Sindustries","8","2008"
"Gardenian","Sonic Death Monkey","Soulburner/Sindustries","8","2008"
"Gardenian","Tell the World I'm Sorry","Soulburner/Sindustries","9","2008"
"Gardenian","Sindustries","Soulburner/Sindustries","9","2008"
"Gardenian","Loss","Soulburner/Sindustries","10","2008"
"Gardenian","Funeral","Soulburner/Sindustries","10","2008"
"Gardenian","Black Days","Soulburner/Sindustries","11","2008"
"Ghost Brigade","Rails At The River","Guided By Fire","1","2007"
"Ghost Brigade","Hold On Thin Line","Guided By Fire","2","2007"
"Ghost Brigade","Horns","Guided By Fire","3","2007"
"Ghost Brigade","Minus Side","Guided By Fire","4","2007"
"Ghost Brigade","Away And Here","Guided By Fire","5","2007"
"Ghost Brigade","Along The Barriers","Guided By Fire","6","2007"
"Ghost Brigade","Based On You","Guided By Fire","7","2007"
"Ghost Brigade","Disgusted By The Light","Guided By Fire","8","2007"
"Ghost Brigade","Autoemotive","Guided By Fire","9","2007"
"Ghost Brigade","Deliberately","Guided By Fire","10","2007"
"Ghost Brigade","Suffocated","Isolation Songs","1","2009"
"Ghost Brigade","My Heart Is A Tomb","Isolation Songs","2","2009"
"Ghost Brigade","Into The Black Light","Isolation Songs","3","2009"
"Ghost Brigade","Lost In A Loop","Isolation Songs","4","2009"
"Ghost Brigade","22:22 - Nihil","Isolation Songs","5","2009"
"Ghost Brigade","Architect Of New Beginnings","Isolation Songs","6","2009"
"Ghost Brigade","Birth","Isolation Songs","7","2009"
"Ghost Brigade","Concealed Revulsions","Isolation Songs","8","2009"
"Ghost Brigade","Secrets Of The Earth","Isolation Songs","9","2009"
"Ghost Brigade","A Storm Inside","Isolation Songs","10","2009"
"Ghost Brigade","Liar","Isolation Songs","11","2009"
"Ghost Brigade","In The Woods","Until Fear No Longer Defines Us","1","2011"
"Ghost Brigade","Clawmaster","Until Fear No Longer Defines Us","2","2011"
"Ghost Brigade","Chamber","Until Fear No Longer Defines Us","3","2011"
"Ghost Brigade","Traces Of Liberty","Until Fear No Longer Defines Us","4","2011"
"Ghost Brigade","Divine Act Of Lunacy","Until Fear No Longer Defines Us","5","2011"
"Ghost Brigade","Grain","Until Fear No Longer Defines Us","6","2011"
"Ghost Brigade","Breakwater","Until Fear No Longer Defines Us","7","2011"
"Ghost Brigade","Cult Of Decay","Until Fear No Longer Defines Us","8","2011"
"Ghost Brigade","Torn","Until Fear No Longer Defines Us","9","2011"
"Ghost Brigade","Soulcarvers","Until Fear No Longer Defines Us","10","2011"
"God Forbid","The Discovery","Earthsblood","1","2009"
"God Forbid","The Rain","Earthsblood","2","2009"
"God Forbid","Empire Of The Gun","Earthsblood","3","2009"
"God Forbid","War Of Attrition","Earthsblood","4","2009"
"God Forbid","The New Clear","Earthsblood","5","2009"
"God Forbid","Shallow","Earthsblood","6","2009"
"God Forbid","Walk Alone","Earthsblood","7","2009"
"God Forbid","Bat The Angels","Earthsblood","8","2009"
"God Forbid","Earthsblood","Earthsblood","9","2009"
"God Forbid","Gaia (The Vultures)","Earthsblood","10","2009"
"Godhate","John 3:18","Equal In The Eyes Of Death","1","2009"
"Godhate","Godhate","Equal In The Eyes Of Death","2","2009"
"Godhate","Penance For The Wicked","Equal In The Eyes Of Death","3","2009"
"Godhate","In Praise Of Sin","Equal In The Eyes Of Death","4","2009"
"Godhate","Infinity Shall Be","Equal In The Eyes Of Death","5","2009"
"Godhate","Equal In The Eyes Of Death","Equal In The Eyes Of Death","6","2009"
"Godhate","Alla Xul Kanpa","Equal In The Eyes Of Death","7","2009"
"Godhate","Dark Funeral","Equal In The Eyes Of Death","8","2009"
"Godhate","Antichristianity","Equal In The Eyes Of Death","9","2009"
"Godhate","In Anger With Life","Equal In The Eyes Of Death","10","2009"
"Godhate","The End","Equal In The Eyes Of Death","11","2009"
"Gojira","Explosia","L'Enfant Sauvage","1","0"
"Gojira","L'Enfant Sauvage","L'Enfant Sauvage","2","0"
"Gojira","The Axe","L'Enfant Sauvage","3","0"
"Gojira","Liquid Fire","L'Enfant Sauvage","4","0"
"Gojira","The Wild Healer","L'Enfant Sauvage","5","0"
"Gojira","Planned Obsolescence","L'Enfant Sauvage","6","0"
"Gojira","Mouth Of Kala","L'Enfant Sauvage","7","0"
"Gojira","The Gift Of Guilt","L'Enfant Sauvage","8","0"
"Gojira","Pain Is A Master","L'Enfant Sauvage","9","0"
"Gojira","Born In Winter","L'Enfant Sauvage","10","0"
"Gojira","The Fall","L'Enfant Sauvage","11","0"
"Gothmog","Eternal Hate","A Step in the Dark","1","2009"
"Gothmog","The Awakening of Lord Strigoi","A Step in the Dark","2","2009"
"Gothmog","Raging Spiritual Ecstasy","A Step in the Dark","3","2009"
"Gothmog","Nostalgia of Heaven","A Step in the Dark","4","2009"
"Gothmog","Spirit of the Nature","A Step in the Dark","5","2009"
"Gothmog","Wandering Viking","A Step in the Dark","6","2009"
"Gothmog","Death of A Warrior","A Step in the Dark","7","2009"
"Gothmog","Ghosts of Ancient Days","A Step in the Dark","8","2009"
"Gothmog","Art of War","A Step in the Dark","9","2009"
"Gothmog","Downwards the Hades of the Soul","A Step in the Dark","10","2009"
"Graveworm","Vengence Is Sworn","Diabolical Figures","1","2009"
"Graveworm","Circus of the Damned","Diabolical Figures","2","2009"
"Graveworm","Diabolic Figures","Diabolical Figures","3","2009"
"Graveworm","Hell's Creation","Diabolical Figures","4","2009"
"Graveworm","Forlorn Hope","Diabolical Figures","5","2009"
"Graveworm","Architects of Hate","Diabolical Figures","6","2009"
"Graveworm","New Disorder","Diabolical Figures","7","2009"
"Graveworm","Message in a Bottle","Diabolical Figures","8","2009"
"Graveworm","Ignorance of Gods","Diabolical Figures","9","2009"
"Graveworm","The Reckoning","Diabolical Figures","10","2009"
"Grief of War","Crack of Doom","Worship","1","2009"
"Grief of War","Disorder","Worship","2","2009"
"Grief of War","Captured Soul Eternity","Worship","3","2009"
"Grief of War","New Kind of Wicked","Worship","4","2009"
"Grief of War","Revolt","Worship","5","2009"
"Grief of War","Built My Brain","Worship","6","2009"
"Grief of War","Worship","Worship","7","2009"
"Grief of War","Into the Void (feat. Shane Gibson)","Worship","8","2009"
"Grief of War","Midnight Sun","Worship","9","2009"
"Grief of War","Lost","Worship","10","2009"
"Grievers","Universe","Reflecting Evil","1","2010"
"Grievers","An Untruthful Shape","Reflecting Evil","2","2010"
"Grievers","Concept Of Wisdom","Reflecting Evil","3","2010"
"Grievers","Born Again","Reflecting Evil","4","2010"
"Grievers","Reflecting Evil","Reflecting Evil","5","2010"
"Grievers","Something Beyond","Reflecting Evil","6","2010"
"Grievers","Living Paradox","Reflecting Evil","7","2010"
"Grievers","One God In The Space","Reflecting Evil","8","2010"
"Hacride","To Walk Among Them","Lazarus","1","2009"
"Hacride","Act Of God","Lazarus","2","2009"
"Hacride","Lazarus","Lazarus","3","2009"
"Hacride","Phenomenon","Lazarus","4","2009"
"Hacride","A World Of Lies","Lazarus","5","2009"
"Hacride","Awakening","Lazarus","6","2009"
"Hacride","My Enemy","Lazarus","7","2009"
"Hail Of Bullets","The Eve Of Battle","On Divine Winds","1","2010"
"Hail Of Bullets","Operation Z","On Divine Winds","2","2010"
"Hail Of Bullets","The Mukden Incident","On Divine Winds","3","2010"
"Hail Of Bullets","Strategy Of Attrition","On Divine Winds","4","2010"
"Hail Of Bullets","Full Scale War","On Divine Winds","5","2010"
"Hail Of Bullets","Guadalcanal","On Divine Winds","6","2010"
"Hail Of Bullets","On Choral Shores","On Divine Winds","7","2010"
"Hail Of Bullets","Unsung Heroes","On Divine Winds","8","2010"
"Hail Of Bullets","Tokyo Napalm Holocaust","On Divine Winds","9","2010"
"Hail Of Bullets","Kamikaze","On Divine Winds","10","2010"
"Hail Of Bullets","To Bear The Unbearable","On Divine Winds","11","2010"
"Hanging Garden","Where Serpents Dwell","TEOTWAWKI","1","2009"
"Hanging Garden","The Blackbirds","TEOTWAWKI","2","2009"
"Hanging Garden","Hands That Decay","TEOTWAWKI","3","2009"
"Hanging Garden","Times of Disgrace","TEOTWAWKI","4","2009"
"Hanging Garden","Wolves Cry Out","TEOTWAWKI","5","2009"
"Hanging Garden","Oceans Away","TEOTWAWKI","6","2009"
"Hanging Garden","The Fires of Sheol","TEOTWAWKI","7","2009"
"Hanging Garden","Inherit the Eden","TEOTWAWKI","8","2009"
"Hateskor","Far Beyond The Stars","Paint My Fear","1","2011"
"Hateskor","Mirror's Eye","Paint My Fear","2","2011"
"Hateskor","My Inferno","Paint My Fear","3","2011"
"Hateskor","Ten Days, Ten Nights","Paint My Fear","4","2011"
"Hateskor","My Golden Void","Paint My Fear","5","2011"
"Hateskor","Pool Of Decadence","Paint My Fear","6","2011"
"Hateskor","The Curse","Paint My Fear","7","2011"
"Hateskor","Tears Of Fire","Paint My Fear","8","2011"
"Hateskor","...Where They Belong","Paint My Fear","9","2011"
"Havok","Wreckquiem","Burn","1","2009"
"Havok","The Root of All Evil","Burn","2","2009"
"Havok","Path to Nowhere","Burn","3","2009"
"Havok","Morbid Symmetry","Burn","4","2009"
"Havok","Identity Theft","Burn","5","2009"
"Havok","The Disease","Burn","6","2009"
"Havok","Scabs of Trust","Burn","7","2009"
"Havok","Ivory Tower","Burn","8","2009"
"Havok","To Hell","Burn","9","2009"
"Havok","Category of the Dead","Burn","10","2009"
"Havok","Melting the Mountain","Burn","11","2009"
"Havok","Afterburner","Burn","12","2009"
"Heathen Foray","Armored Bards","Armored Bards","1","2010"
"Heathen Foray","The Blight","Armored Bards","2","2010"
"Heathen Foray","Bifrost","Armored Bards","3","2010"
"Heathen Foray","Ascension","Armored Bards","4","2010"
"Heathen Foray","Messenger Of God","Armored Bards","5","2010"
"Heathen Foray","Endless Sorrow","Armored Bards","6","2010"
"Heathen Foray","A Brother's Tale","Armored Bards","7","2010"
"Heathen Foray","Walls Of Vienna","Armored Bards","8","2010"
"Heathen Foray","Hopfen und Malz","Armored Bards","9","2010"
"Heathen Foray","Carthage's End","Armored Bards","10","2010"
"Helcaraxë","Northmen","Broadsword","1","2009"
"Helcaraxë","Broadsword","Broadsword","2","2009"
"Helcaraxë","The Iron Shield","Broadsword","3","2009"
"Helcaraxë","Into the Vortex","Broadsword","4","2009"
"Helcaraxë","To Plunder","Broadsword","5","2009"
"Helcaraxë","Commander","Broadsword","6","2009"
"Helcaraxë","Ginnungagap","Broadsword","7","2009"
"Helcaraxë","Eye of Fire","Broadsword","8","2009"
"Helcaraxë","Götterdämmerung","Broadsword","9","2009"
"Helcaraxë","Chain Mail","Broadsword","10","2009"
"Helcaraxë","God Slayer","Broadsword","11","2009"
"Helevorn","From Our Glorious Days","Forthcoming Displeasures","1","2010"
"Helevorn","Descent","Forthcoming Displeasures","2","2010"
"Helevorn","Two Voices Surrounding","Forthcoming Displeasures","3","2010"
"Helevorn","To Bleed not to Suffer","Forthcoming Displeasures","4","2010"
"Helevorn","Revelations","Forthcoming Displeasures","5","2010"
"Helevorn","Hopeless Truth","Forthcoming Displeasures","6","2010"
"Helevorn","Yellow","Forthcoming Displeasures","7","2010"
"Helevorn","On Shores (Of a Dying Sea)","Forthcoming Displeasures","8","2010"
"Hell Within","Condemning The Bloodline","God Grant Me Vengeance","1","2010"
"Hell Within","Lament For The Fallen","God Grant Me Vengeance","2","2010"
"Hell Within","God Grant Me Vengeance","God Grant Me Vengeance","3","2010"
"Hell Within","The Rebirth","God Grant Me Vengeance","4","2010"
"Hell Within","Assembly Of The Locusts","God Grant Me Vengeance","5","2010"
"Hell Within","Scars In Oblivion","God Grant Me Vengeance","6","2010"
"Hell Within","Deliverance","God Grant Me Vengeance","7","2010"
"Hell Within","Interlude","God Grant Me Vengeance","8","2010"
"Hell Within","Eternal Uprising","God Grant Me Vengeance","9","2010"
"Hell Within","Remnants Of A Failed Creation","God Grant Me Vengeance","10","2010"
"Hell Within","Hours Of Decay","God Grant Me Vengeance","11","2010"
"Hemoptysis","Shadow Of Death","Who Needs A Shepherd?","32","2008"
"Hemoptysis","Who Needs Love","Who Needs A Shepherd?","32","2008"
"Here Comes the Kraken","It's Comming","Here Comes The Kraken","1","2009"
"Here Comes the Kraken","Don't Fail Me Darko","Here Comes The Kraken","2","2009"
"Here Comes the Kraken","Into The Slaughter Basement","Here Comes The Kraken","3","2009"
"Here Comes the Kraken","Confessions Of What I've Done","Here Comes The Kraken","4","2009"
"Here Comes the Kraken","Miss Starving Skeleton","Here Comes The Kraken","5","2009"
"Here Comes the Kraken","Coplex","Here Comes The Kraken","6","2009"
"Here Comes the Kraken","Underwater Visions","Here Comes The Kraken","7","2009"
"Here Comes the Kraken","The Legend Of The Rent Is Way Hardcore","Here Comes The Kraken","8","2009"
"Here Comes the Kraken","From The Depest Darkness","Here Comes The Kraken","9","2009"
"Here Comes the Kraken","Ishawtrcwbky","Here Comes The Kraken","10","2009"
"Hidden Time","Face My Hate","Fake Life / Real Pain","1","2010"
"Hidden Time","S.F.O.","Fake Life / Real Pain","2","2010"
"Hidden Time","The Door In The Wall","Fake Life / Real Pain","3","2010"
"Hidden Time","Fake Life/Real Pain","Fake Life / Real Pain","4","2010"
"Hidden Time","Shit#1","Fake Life / Real Pain","5","2010"
"Hidden Time","9th Deadly Sin","Fake Life / Real Pain","6","2010"
"Hidden Time","My Final Breath","Fake Life / Real Pain","7","2010"
"Hidden Time","The Last Red Line","Fake Life / Real Pain","8","2010"
"Hidden Time","Good Way To Kill","Fake Life / Real Pain","9","2010"
"Hidden Time","Fatal Error","Fake Life / Real Pain","10","2010"
"Himsa","Reinventing The Noose","Summon In Thunder","1","2007"
"Himsa","Haunter","Summon In Thunder","2","2007"
"Himsa","Big Timber","Summon In Thunder","3","2007"
"Himsa","Given It To The Taking","Summon In Thunder","4","2007"
"Himsa","Skinwalkers","Summon In Thunder","5","2007"
"Himsa","Curseworship","Summon In Thunder","6","2007"
"Himsa","Hooks As Hands","Summon In Thunder","7","2007"
"Himsa","Ruin Them","Summon In Thunder","8","2007"
"Himsa","Den Of Infamy","Summon In Thunder","9","2007"
"Himsa","Unleash Carnage","Summon In Thunder","10","2007"
"Himsa","Summon In Thunder","Summon In Thunder","11","2007"
"Hopeless Nation","Preamble","Built From Scratch","1","2009"
"Hopeless Nation","Blackout","Built From Scratch","2","2009"
"Hopeless Nation","War Of Angels","Built From Scratch","3","2009"
"Hopeless Nation","Our Time","Built From Scratch","4","2009"
"Hopeless Nation","Dead Inside","Built From Scratch","5","2009"
"Hopeless Nation","Premonition","Built From Scratch","6","2009"
"Hopeless Nation","Break The Walls","Built From Scratch","7","2009"
"Hopeless Nation","Follow Me Blind","Built From Scratch","8","2009"
"Hopeless Nation","Pariah","Built From Scratch","9","2009"
"Hopeless Nation","Rest In Peace","Built From Scratch","10","2009"
"Hopeless Nation","Built From Scratch","Built From Scratch","11","2009"
"Hypocrisy","Valley Of The Damned","A Taste Of Extreme Divinity","1","2009"
"Hypocrisy","Hang Him High","A Taste Of Extreme Divinity","2","2009"
"Hypocrisy","Solar Empire","A Taste Of Extreme Divinity","3","2009"
"Hypocrisy","Weed Out The Weak","A Taste Of Extreme Divinity","4","2009"
"Hypocrisy","No Tomorrow","A Taste Of Extreme Divinity","5","2009"
"Hypocrisy","Global Domination","A Taste Of Extreme Divinity","6","2009"
"Hypocrisy","Taste The Extreme Divinity","A Taste Of Extreme Divinity","7","2009"
"Hypocrisy","Alive","A Taste Of Extreme Divinity","8","2009"
"Hypocrisy","The Quest","A Taste Of Extreme Divinity","9","2009"
"Hypocrisy","Tamed (Filled With Fear)","A Taste Of Extreme Divinity","10","2009"
"Hypocrisy","Sky Is Falling Down","A Taste Of Extreme Divinity","11","2009"
"Hypocrisy","The Gathering","Abducted","1","1996"
"Hypocrisy","Roswell 47","Abducted","2","1996"
"Hypocrisy","Killing Art","Abducted","3","1996"
"Hypocrisy","The Arrival Of The Demons (Part 2)","Abducted","4","1996"
"Hypocrisy","Buried","Abducted","5","1996"
"Hypocrisy","Abducted","Abducted","6","1996"
"Hypocrisy","Paradox","Abducted","7","1996"
"Hypocrisy","Point Of No Return","Abducted","8","1996"
"Hypocrisy","When The Candle Fades","Abducted","9","1996"
"Hypocrisy","Carved Up","Abducted","10","1996"
"Hypocrisy","Reflections","Abducted","11","1996"
"Hypocrisy","Slippin' Away","Abducted","12","1996"
"Hypocrisy","Drained","Abducted","13","1996"
"Hypocrisy","Don't Judge Me","Catch 22 - V2.0.08","1","2008"
"Hypocrisy","Destroyed","Catch 22 - V2.0.08","2","2008"
"Hypocrisy","Edge Of Madness","Catch 22 - V2.0.08","3","2008"
"Hypocrisy","A Public Puppet","Catch 22 - V2.0.08","4","2008"
"Hypocrisy","Uncontrolled","Catch 22 - V2.0.08","5","2008"
"Hypocrisy","Turn The Page","Catch 22 - V2.0.08","6","2008"
"Hypocrisy","Hatred","Catch 22 - V2.0.08","7","2008"
"Hypocrisy","Another Dead End","Catch 22 - V2.0.08","8","2008"
